docname,from,to,pre,keyword,post,pattern
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2274,16,16,An ad released earlier this year says that Brown “ wrote a bill that Donald,Trump,"signed to crack down on drugs at the border . ” Tester , meanwhile , has been featured in ads that feature Republicans who will be voting for Trump and backing Tester .",trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2274,45,45,"An ad released earlier this year says that Brown “ wrote a bill that Donald Trump signed to crack down on drugs at the border . ” Tester , meanwhile , has been featured in ads that feature Republicans who will be voting for",Trump,and backing Tester .,trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2276,34,34,"Michigan Democratic Rep . Elissa Slotkin , who is running for retiring Sen . Debbie Stabenow’s seat , also boasts in a recent ad that she “ wrote a law signed by President",Trump,forcing drug companies to show their actual prices . ”,trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2277,1,1,,Trump,"and Republican Senate candidates have recently gained ground in the polling . In Pennsylvania , Casey’s lead over Dave McCormick has been cut from 5 points at the end of September to just 1.9 points as of Wednesday afternoon , according to the RealClearPolitics average . In Wisconsin , Baldwin",trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2282,1,1,,Trump,Campaign Memo Describes ‘ Massive Turnout Deficit ’ For Dems On Eve of Election,trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2288,9,9,' If patriots across the country keep the,momentum,"and turn out as expected on Election Day , we will be swearing in President Trump in January . '",men
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2288,25,25,"' If patriots across the country keep the momentum and turn out as expected on Election Day , we will be swearing in President",Trump,in January . ',trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2289,4,4,PALM BEACH—Former President,Donald,Trump’s campaign is circulating a memo describing a “ massive turnout deficit ” for Democrats on the eve of the 2024 election .,donald
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2289,5,5,PALM BEACH—Former President Donald,Trump’s,campaign is circulating a memo describing a “ massive turnout deficit ” for Democrats on the eve of the 2024 election .,trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2290,9,9,"Tim Saler , the chief data consultant for",Donald,"J . Trump for President , described how Trump and Republicans are reportedly outperforming past elections in early votes and absentee ballots in a memo sent to Trump campaign senior leadership on Monday .",donald
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2290,12,12,"Tim Saler , the chief data consultant for Donald J .",Trump,"for President , described how Trump and Republicans are reportedly outperforming past elections in early votes and absentee ballots in a memo sent to Trump campaign senior leadership on Monday .",trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2290,18,18,"Tim Saler , the chief data consultant for Donald J . Trump for President , described how",Trump,and Republicans are reportedly outperforming past elections in early votes and absentee ballots in a memo sent to Trump campaign senior leadership on Monday .,trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2290,37,37,"Tim Saler , the chief data consultant for Donald J . Trump for President , described how Trump and Republicans are reportedly outperforming past elections in early votes and absentee ballots in a memo sent to",Trump,campaign senior leadership on Monday .,trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2294,5,5,"“ Last time ,",Trump,"said , ‘ Don’t early-vote , ’ so they didn’t , ” he added . “ Republicans do have an advantage in early-vote numbers . When the early votes come in , it’s going to look a little bit different than 2020 , and that’s scary . ”",trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2295,29,29,"“ What Mr . Messina is downplaying , is they are a lot scarier for Democrats , ” Saler said . “ According to NBC News , President",Donald,"J . Trump has a 16-point lead ( 56-40 ) among voters who plan to cast their ballot on Election Day . Obama’s chief campaign strategist and CNN political commentator , David Axelrod , told CNN that there are no guarantees that voters will turn out on Election Day for",donald
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2295,32,32,"“ What Mr . Messina is downplaying , is they are a lot scarier for Democrats , ” Saler said . “ According to NBC News , President Donald J .",Trump,"has a 16-point lead ( 56-40 ) among voters who plan to cast their ballot on Election Day . Obama’s chief campaign strategist and CNN political commentator , David Axelrod , told CNN that there are no guarantees that voters will turn out on Election Day for Vice President Harris",trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2295,59,59,"is they are a lot scarier for Democrats , ” Saler said . “ According to NBC News , President Donald J . Trump has a 16-point lead ( 56-40 ) among voters who plan to cast their ballot on Election Day . Obama’s chief campaign strategist and CNN political",commentator,", David Axelrod , told CNN that there are no guarantees that voters will turn out on Election Day for Vice President Harris . ”",men
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2295,82,82,"Trump has a 16-point lead ( 56-40 ) among voters who plan to cast their ballot on Election Day . Obama’s chief campaign strategist and CNN political commentator , David Axelrod , told CNN that there are no guarantees that voters will turn out on Election Day for Vice President",Harris,. ”,harris
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2296,66,66,"on Election Day when polls show otherwise and , most importantly , that’s asking Democrat voters to do something they have absolutely no history of doing , ” he added . “ If Democrats , who historically vote ahead of Election Day , haven’t been motivated to show up for",Kamala,"yet , why do we expect them to show up tomorrow ? ”",kamala
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2297,6,6,The memo emphasized confidence that,Trump,is heading into Tuesday “ stronger than he has in any previous election . ” But it also stressed that Republicans need to get out and vote for Trump .,trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2297,35,35,The memo emphasized confidence that Trump is heading into Tuesday “ stronger than he has in any previous election . ” But it also stressed that Republicans need to get out and vote for,Trump,.,trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2298,12,12,"Saler added , “ if patriots across the country keep the",momentum,"and turn out as expected on Election Day , we will be swearing in President Trump in January . ”",men
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2298,28,28,"Saler added , “ if patriots across the country keep the momentum and turn out as expected on Election Day , we will be swearing in President",Trump,in January . ”,trump
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2299,2,2,The,Harris,campaign did not immediately respond to a request for comment .,harris
trump_campaign_memo_describes_massive_turnout_deficit_for_dems_on_eve_of_election.txt_2299,12,12,The Harris campaign did not immediately respond to a request for,comment,.,men
trump_campaign_responds_to_fake_news_claiming_he_called_for_liz_cheney_to_be_fired_upon.txt_2304,1,1,,Trump,Campaign Responds To ‘ Fake News ’ Claiming He Called For Liz Cheney To Be ‘ Fired Upon ’,trump
trump_campaign_responds_to_fake_news_claiming_he_called_for_liz_cheney_to_be_fired_upon.txt_2310,4,4,Controversy erupted after,Trump,made comments about Cheney at an event on Thursday night .,trump
trump_campaign_responds_to_fake_news_claiming_he_called_for_liz_cheney_to_be_fired_upon.txt_2310,6,6,Controversy erupted after Trump made,comments,about Cheney at an event on Thursday night .,men
trump_campaign_responds_to_fake_news_claiming_he_called_for_liz_cheney_to_be_fired_upon.txt_2311,2,2,The,Trump,"campaign called out “ fake news ” reporters on Friday morning after multiple media outlets claimed that former President Donald Trump called for Liz Cheney , a former Republican congresswoman and current Kamala Harris supporter , to be “ fired upon . ”",trump
